method,sample_id,absolute_error,direction,predicted_count,gt_interval_low,gt_interval_high,original_image,mask_image,overlay_image,prediction_json,manifest_json
ImgGen overlay,luca_unc_low_mag_008,31,undercount,4,35,108,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/run_manifest.json
ImgGen mask,luca_unc_low_mag_010,30,undercount,1,31,62,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_010/20260624_154001/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_010/20260624_154001/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_010/20260624_154001/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_010/20260624_154001/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_010/20260624_154001/run_manifest.json
ImgGen overlay,luca_unc_high_mag_024,29,overcount,39,4,10,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260627_124911/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260627_124911/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260627_124911/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260627_124911/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260627_124911/run_manifest.json
ImgGen mask,luca_unc_low_mag_026,29,overcount,49,9,20,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_026/20260624_161221/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_026/20260624_161221/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_026/20260624_161221/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_026/20260624_161221/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_026/20260624_161221/run_manifest.json
ImgGen overlay,luca_unc_low_mag_012,28,overcount,56,2,28,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_012/20260627_133933/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_012/20260627_133933/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_012/20260627_133933/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_012/20260627_133933/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_012/20260627_133933/run_manifest.json
ImgGen mask,luca_unc_low_mag_008,24,undercount,11,35,108,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_008/20260624_153322/run_manifest.json
ImgGen mask,luca_unc_low_mag_050,24,overcount,103,11,79,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_050/20260624_184413/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_050/20260624_184413/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_050/20260624_184413/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_050/20260624_184413/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_050/20260624_184413/run_manifest.json
ImgGen overlay,luca_unc_low_mag_047,23,overcount,181,40,158,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_047/20260624_182234/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_047/20260624_182234/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_047/20260624_182234/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_047/20260624_182234/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_047/20260624_182234/run_manifest.json
ImgGen mask,luca_unc_low_mag_004,23,overcount,35,4,12,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_004/20260624_152118/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_004/20260624_152118/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_004/20260624_152118/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_004/20260624_152118/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_004/20260624_152118/run_manifest.json
ImgGen overlay,luca_unc_high_mag_002,23,overcount,37,4,14,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_002/20260624_131856/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_002/20260624_131856/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_002/20260624_131856/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_002/20260624_131856/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_002/20260624_131856/run_manifest.json
ImgGen mask,luca_unc_high_mag_027,22,overcount,49,8,27,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_027/20260624_143811/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_027/20260624_143811/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_027/20260624_143811/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_027/20260624_143811/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_027/20260624_143811/run_manifest.json
ImgGen mask,luca_unc_high_mag_024,20,overcount,30,4,10,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260624_143519/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260624_143519/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260624_143519/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260624_143519/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_024/20260624_143519/run_manifest.json
ImgGen overlay,luca_unc_high_mag_030,19,undercount,5,24,59,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260627_131018/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260627_131018/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260627_131018/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260627_131018/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260627_131018/run_manifest.json
ImgGen mask,luca_unc_high_mag_030,18,undercount,6,24,59,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260624_144111/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260624_144111/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260624_144111/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260624_144111/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_030/20260624_144111/run_manifest.json
ImgGen overlay,luca_unc_low_mag_040,18,undercount,9,27,90,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/run_manifest.json
ImgGen mask,luca_unc_low_mag_040,18,undercount,9,27,90,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_040/20260624_174557/run_manifest.json
ImgGen mask,luca_unc_low_mag_032,17,undercount,32,49,109,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/run_manifest.json
ImgGen mask,luca_unc_low_mag_027,17,undercount,31,48,136,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/run_manifest.json
ImgGen mask,luca_unc_low_mag_007,17,undercount,3,20,89,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/run_manifest.json
ImgGen overlay,luca_unc_low_mag_007,17,undercount,3,20,89,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_007/20260624_153052/run_manifest.json
ImgGen overlay,luca_unc_high_mag_033,17,overcount,35,6,18,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_033/20260627_131804/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_033/20260627_131804/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_033/20260627_131804/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_033/20260627_131804/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_033/20260627_131804/run_manifest.json
ImgGen overlay,luca_unc_low_mag_032,15,undercount,34,49,109,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_032/20260624_165315/run_manifest.json
ImgGen overlay,luca_unc_low_mag_027,14,undercount,34,48,136,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_027/20260624_162007/run_manifest.json
ImgGen overlay,luca_unc_low_mag_017,13,overcount,18,1,5,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260627_140516/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260627_140516/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260627_140516/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260627_140516/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260627_140516/run_manifest.json
ImgGen mask,luca_unc_high_mag_031,12,overcount,22,2,10,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_031/20260624_144218/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_031/20260624_144218/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_031/20260624_144218/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_031/20260624_144218/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_031/20260624_144218/run_manifest.json
ImgGen mask,luca_unc_high_mag_039,10,undercount,8,18,46,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/run_manifest.json
ImgGen overlay,luca_unc_high_mag_039,10,undercount,8,18,46,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_039/20260624_145901/run_manifest.json
ImgGen mask,luca_unc_low_mag_017,10,overcount,15,1,5,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260624_160139/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260624_160139/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260624_160139/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260624_160139/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_017/20260624_160139/run_manifest.json
ImgGen mask,luca_unc_low_mag_029,10,undercount,22,32,102,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/run_manifest.json
ImgGen overlay,luca_unc_low_mag_029,9,undercount,23,32,102,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_029/20260624_163224/run_manifest.json
ImgGen overlay,luca_unc_low_mag_018,9,overcount,11,1,2,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_018/20260627_140912/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_018/20260627_140912/images/E5_imggen_overlay_vlm_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_018/20260627_140912/images/E5_imggen_overlay_vlm_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_018/20260627_140912/predictions/E5_imggen_overlay_vlm.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_018/20260627_140912/run_manifest.json
ImgGen mask,luca_unc_low_mag_015,8,overcount,16,3,8,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_015/20260624_155950/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_015/20260624_155950/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_015/20260624_155950/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_015/20260624_155950/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_015/20260624_155950/run_manifest.json
ImgGen mask,luca_unc_high_mag_021,8,overcount,24,6,16,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_021/20260624_143220/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_021/20260624_143220/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_021/20260624_143220/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_021/20260624_143220/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_high_mag_021/20260624_143220/run_manifest.json
ImgGen mask,luca_unc_low_mag_033,8,undercount,37,45,101,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_033/20260624_165751/images/original.jpg,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_033/20260624_165751/images/E3_imggen_deterministic_mask.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_033/20260624_165751/images/E3_imggen_deterministic_overlay.png,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_033/20260624_165751/predictions/E3_imggen_deterministic.json,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/luca_unc_low_mag_033/20260624_165751/run_manifest.json
